gene_symbol,chromosome,start,end,BXD1,BXD2,BXD6,BXD8,BXD9,BXD11,BXD12,BXD13,BXD14,BXD16,BXD18,BXD19,BXD21,BXD23,BXD27,BXD28,BXD29,BXD31,BXD32,BXD33,BXD34,BXD36,BXD40,BXD42
1500011K16Rik,2,127617124.0,127618224.0,7.980054655,7.626685249,8.022508641,8.151638365,7.936154273,7.546778144,7.57082962,7.86232457,7.897115052,7.185028438,7.918102121,7.122728713,8.410582251,7.893400267,7.793314124,7.738738735,7.994370961,8.110354377,8.352807098,7.4909499515,8.008566851,7.837292548,7.871613813,7.219175167
1700020L24Rik,11,83251188.0,83254734.0,12.15635893,12.11456527,12.31732206,12.2597739,12.29382062,11.75751719,12.34475001,12.36364586,12.44609112,11.98201693,12.56958358,11.54408205,12.40389319,12.25787301,12.16376147,12.59949685,12.63286318,12.60481421,12.45737454,11.776214575000001,12.1981272,12.40389319,12.07118707,11.27245631
1700020N01Rik,10,21312964.0,21341582.0,6.733772363,6.923699034,6.917097961,7.686302786,7.103121127,7.608003858,6.875883577,6.676731388,7.766394035,6.921190891,6.993830018,6.918921825,7.854036919,7.322378148,6.775925038,7.260653087,7.548852077,7.66638418,8.051259188,6.6982442165,8.445547922,7.521777818,7.657012721,7.358675125
1700021K19Rik,16,32821793.0,32877852.0,8.509441808,8.577443115,9.21078162,7.900226965,8.677518263,8.017932973,8.600044527,8.786746889,8.120233425,8.208798032,8.712506394,8.262169661,7.628280996,8.570705811,8.655297008,8.617567049,8.112862679,8.307004773,8.288281728,8.7530924645,7.633858922,8.438180921,8.442940184,7.936414407
1700025G04Rik,1,153737978.0,153853897.0,8.806193712,8.399938973,8.62217582,8.364120252,8.531188843,8.267239128,8.5670914,8.617567049,8.016571016,8.114106963,8.22478249,7.681396814,8.676728738,8.479914181,8.33718467,8.50113149,8.29383404,8.030303481,7.96166209,8.0383985445,8.508085177,8.089887996,8.729437811,7.321309986
1700029F09Rik,1,44143458.0,44159286.0,9.805879522,10.01144705,9.812795466,10.01622834,10.03783773,10.10029154,9.797972574,10.0871461,10.16327234,9.419322666,9.821331487,8.976101295,9.798950776,9.9123252,9.639999761,9.554026557,9.728257841,9.899348737,10.25137689,9.287446967000001,10.05105104,9.997738819,10.12190945,9.11373097
1700047M11Rik,1,184230965.0,184233420.0,11.5416463,11.97766559,11.95630578,11.76025388,12.23953859,12.43877341,11.71042199,11.90404076,11.33850513,12.37670667,11.78445429,12.85788921,11.25716402,11.61614992,12.40389319,11.94126154,12.69418949,11.19134611,12.02642487,11.8044017,11.90404076,11.72801487,11.60477639,12.54397888
1700081L11Rik,11,104194815.0,104330175.0,7.376802179,8.219693406,7.382420681,7.393254808,8.311332626,8.330952223,7.404663999,7.46820124,7.304605801,7.900691796,7.504243067,8.064288515,7.128319364,7.736982055,7.743632893,7.677649255,7.145678647,7.224538858,7.088101705,7.716530924,7.491102566,7.645537123,8.289804709,7.725764688
1700097N02Rik,17,30759394.0,30762030.0,9.233147047,9.072293542,10.15085324,9.49367885,9.865181488,9.290963987,9.226069409,8.829374682,8.764760516,8.915079601,9.708270675,8.812076841,9.346505987,8.888046281,9.145732462,9.499274905,9.514453719,9.419322666,9.197816672,9.379978694,9.841849838,9.021002393,8.386129742,8.091035394
1700123O20Rik,14,55305879.0,55309569.0,9.818172603,7.25393795,6.923029793,6.811942366,7.354538674,7.216367549,6.992291616,10.13401952,6.857931772,7.050702164,6.786394836,7.443837882,10.20507989,9.931214508,10.03249464,9.863113289,6.756608989,6.627129113,6.612706641,9.8270204535,6.525592458,6.910767085,7.30183734,6.597248201
1810022K09Rik,3,14606293.0,14611139.0,10.99680778,11.64526931,10.75827204,11.1149362,11.3589824,11.10867356,10.46529861,10.33375673,10.85109794,10.90380832,10.6116312,10.3514191,10.68593394,10.86921265,10.75980989,10.63715691,10.10558936,10.11862185,10.07790279,10.429486425,11.84325268,10.33750645,10.92283127,9.689535665
1810026B05Rik,7,80700038.0,80703279.0,9.1187533595,10.3835663405,9.1395350385,8.780461588,9.5012821565,9.9205221535,9.2530866755,8.52796963,8.785278575,9.578636279000001,8.848280646500001,9.8210993825,8.6363092345,9.283785606,9.1843597485,8.951412203499999,8.7949480085,8.783633624,8.546009703,9.1096140015,8.9715264335,8.5994052015,9.2054964735,9.6821178425
1810027O10Rik,11,69652016.0,69653120.0,10.9568002,10.96815411,10.90040802,11.49285501,11.5581784,11.66977221,10.89313282,10.87859794,11.44606832,10.93190372,11.0549613,10.27732682,11.14031517,11.04274348,11.01315878,10.90285909,10.57468141,11.15268046,11.10582825,10.51015127,11.82625981,11.62007045,11.82339478,10.41765225
1810035L17Rik,12,88784846.0,88793156.0,10.258664923000001,10.1939437585,9.905940000000001,9.7734829065,10.120178000500001,9.907542931,9.620894632999999,9.6387395715,9.7307760995,9.575436553,9.463172165,9.236433362,9.5105276305,9.526496328,9.682700325999999,9.4770952525,9.2695860875,9.2910864475,9.2969240565,9.375495170499999,10.015104913,9.3843794195,9.5428804995,8.8065146155
2010001M09Rik,18,35806926.0,35809021.0,8.687322624,9.819125442,10.10500896,9.99159366,9.815603234,9.293138346,9.297725016,9.882918182,10.97269921,8.919230583,9.265634722,8.871512229,9.277976084,10.00816431,9.224463014,9.330916007,10.00046951,9.066896064,9.940155656,9.378844655,9.833373296,9.481696724,9.498380749,9.565280934
2010002N04Rik,18,60633847.0,60661637.0,7.10490646,7.838698304,6.61398462,6.33201892,7.93947991,8.016284212,7.052435664,6.474941069,6.710915876,7.436894367,6.490026694,7.73898278,6.523260592,7.084200839,6.905854921,7.091355751,6.398926036,6.623539325,6.608991308,6.7877837795,6.603895399,6.428573305,7.35779337,6.735889178
2010003O02Rik,4,40216602.0,40217973.0,7.868405644,9.255588955,7.967578741,7.558572485,9.184342896,8.84883201,7.872172644,7.813979419,7.552439217,8.715209657,7.912802676,8.700480928,7.043556779,8.190096708,8.196991859,7.973465059,7.185481813,7.292855636,6.974037566,7.7253725605,8.311332626,7.59375776,8.650208577,7.213984185
2010005H15Rik,16,36231414.0,36257530.0,7.549362249,7.839758333,7.4119654,6.99090033,8.436669405,6.921003196,7.684723162,6.836590106,7.01905918,7.063429369,6.971254203,7.543615359,6.688952386,6.516457853,6.769400569,6.825703691,6.658656128,7.079316671,6.744675669,7.5898760805,7.705223884,6.781394281,6.984426159,7.607608422
2010012P19Rik,11,69495640.0,69504643.0,7.905572519,7.176507679,7.197000911,8.358654021,8.099376748,7.63561924,8.499045959,7.152684014,8.278008832,6.972173454,8.63271536,6.82294922,7.103498115,8.014999961,8.24054266,6.97016109,7.121247676,7.765408889,7.042717564,8.257380634,7.111763051,8.194716766,8.285552547,7.540478287
2010015L04Rik,4,154783299.0,154822053.0,7.165224492,6.9047778275,6.808220088,7.207626811,6.892255073499999,6.9598432615,6.9937314950000005,6.795151975,6.822264872,6.870886599,7.899979592999999,7.6132877905,6.7321171145,6.78053161,6.8955166685,6.783721067,7.8612374475,6.9012090525000005,6.8964009965,7.049180001,7.736852387500001,8.0048875465,7.2832180345,8.0002968115
2010016I18Rik,3,106285813.0,106288831.0,8.641788473,9.070174863,9.112176882,8.830955047,8.662447123,9.054786824,9.014266859,8.477038554,9.060516833,9.130431346,9.170501063,9.440911875,9.722537859,8.568511582,9.188341157,8.595319953,9.195125256,8.58653576,8.71445887,9.515708850500001,9.698180086,8.653074958,8.172174493,9.338989012
2010317E24Rik,2,25227850.0,25232323.0,8.470376894,8.920792283,9.181661436,8.373300069,8.39958001,8.830955047,8.505477936,8.367031315,8.5437436,8.683610435,9.251087817,8.725612154,8.509036436,8.855012211,8.962943769,9.165271764,8.656262713,8.433406979,8.455648315,8.364846596500001,9.591116241,8.44039836,7.759774699,7.729229136
2010321M09Rik,9,64808744.0,64834781.0,9.076913942,9.444209789,8.719956809,8.584174263,9.153850908,9.605533406,8.708817749,8.658468838,8.502799157,9.101143756,8.560444488,8.938579192,8.481311944,8.949635222,8.643630029,8.92492294,8.174596044,8.592853666,8.17626992,8.584199204499999,8.928091742,8.542281979,9.021556487,8.350363935
2210008N01Rik,2,56959241.0,56976552.0,7.007049091,6.960824334,7.062997348,7.459447129,7.51733618,7.627643542,8.006143231,7.684723162,7.028288879,7.520311201,7.371240822,7.02676088,6.997797094,7.216462193,6.852894925,7.489306948,7.878588874,7.281841445,6.918659157,7.075999538,7.032577481,7.530546947,7.875862052,7.589199475
2210012G02Rik,4,106806760.0,106851721.0,7.162456910333333,8.233601305666667,8.041964313666666,8.072363786333334,7.068529567666666,8.2519865,7.048153007333333,8.279157197333333,6.856735504666666,8.294373004999999,7.0403544233333335,7.308234904,7.175105362666667,6.980928062666667,6.997788477666667,8.222481819666667,6.9508957533333335,8.145717477666667,7.045923513666668,7.094600559166667,8.004808682333334,7.016791872333333,7.042465873333334,8.200476051333334
2210013O21Rik,20,150158133.0,150175807.0,10.17253677,10.41765225,10.17955916,10.55708361,10.26920409,10.12031147,10.08251875,10.05550912,10.34446419,9.949680676,10.44213942,9.252008451,10.37732409,10.28150819,10.19106743,10.27861136,10.1553528,10.3147053,10.22444468,9.8689865565,10.43682554,10.06387383,10.31534483,9.040748229
2210411K11Rik,7,4736387.0,4741162.0,8.915507484,8.742729791,8.911729079,8.972285001,8.730552899,8.284309123,8.81162831,8.846477881,8.960881291,8.527867764,8.984802808,8.11914905,8.767664841,8.736114046,8.746088054,9.031382124,8.892582333,9.073524326,9.119611099,8.675032059500001,9.489523769,8.705236267,8.678236421,7.889894719
2300009A05Rik,9,63242254.0,63247028.0,9.371508154,9.965606515,9.090252909,8.839918371,9.637632619,10.0505263,9.003610504,8.896165949,8.830513834,9.480267352,8.769183395,9.394609501,8.615207454,9.056806494,8.996958812,9.086866542,8.30333026,8.67788587,8.063171649,8.802030736999999,9.246451113,8.629820697,9.531845746,8.629156557
2310005G13Rik,16,57038793.0,57049695.0,11.0456581,11.03903281,11.3107724,10.46669224,10.3793404,9.684850612,11.00148368,10.54629782,11.34165251,10.92889045,11.3547047,11.53890455,10.9637937,10.56146382,10.48536942,10.72489046,10.65220744,10.35845247,11.40611027,10.74124733,11.06619768,10.4619439,10.75980989,11.36459541
2310009B15Rik,1,140748556.0,140753431.0,9.234137687,9.392407187,9.901407915,9.983399214,9.449330779,9.203895761,9.647151992,9.531417292,9.55652439,9.335354683,9.729239061,8.876855421,9.846737388,9.716766643,9.871961858,9.574558331,9.737258378,9.182550151,10.17367152,9.7048203085,10.49128704,9.548846471,9.550231408,8.861991698
2310010J17Rik,7,97273368.0,97278775.0,7.51099167,8.532638572,7.66179396,7.290409363,8.359254787,8.386737518,7.427835567,7.391112712,7.034411567,8.598986062,7.323229467,8.811257593,6.814799761,7.569688382,7.511689304,7.420964214,6.729519465,7.089780425,6.960003223,7.833305957,8.059623275,7.524967998,7.955614057,8.016284212
2310016C08Rik,6,29222488.0,29225446.0,7.170094139,6.929912125,7.180140309,7.352452842,7.35441327,7.036080489,8.342660912,8.124785586,7.440605097,7.578546332,7.549194741,7.060849869,7.150173343,7.107295921,6.98385574,7.339471414,7.605105911,7.70452516,7.081784473,7.180352926,6.694364681,7.855241346,7.303489177,7.319174338
2310021P13Rik,14,21526774.0,21542840.0,10.16939054,9.99273712,10.86753598,9.746927668,10.46806974,9.690045222,10.06554324,10.24669587,9.582838818,9.755587245,10.20569252,9.957535903,10.1192001,9.935945377,10.20087362,9.887567295,9.494645006,9.5768007,10.35845247,10.167343268,10.01622834,10.15259658,9.3331708,9.97573321
2310035K24Rik,2,131032814.0,131039250.0,9.338989012,8.894257517,9.024331435,9.406280714,9.496478049,9.346505987,9.681569681,8.897373054,8.91719675,9.851920446,9.349702872,9.821331487,9.382384752,9.737863165,9.798477152,9.36761549,9.676243049,9.877905243,9.314411928,9.445285573,9.081879375,9.387921959,9.898804053,10.58198211
2310045N01Rik,8,72663398.0,72671218.0,10.44213942,10.16046146,10.21694897,10.96145671,10.83633064,10.1853605,10.24292506,10.67140301,10.19559768,10.8495016,11.00482287,10.57468141,10.29945163,10.14858708,10.19559768,10.1897394,9.996670063,10.50356234,10.882111,10.156290460000001,11.13547968,10.13749647,10.62248138,10.65220744
2400003C14Rik,8,112195229.0,112217160.0,8.317152971,8.6062095975,8.0517429305,8.238699953000001,8.551940113,9.0771750835,8.4280088525,8.4220045555,8.370644208,9.081123284,8.272799660499999,8.997968559499999,7.8345592165,8.4303606885,8.614275658,8.4877614705,8.14165584,8.267013609500001,7.928525309,8.59916961925,7.9125345945,8.1506487045,8.711214316,8.842917895500001
2400009B08Rik,8,3671188.0,3672336.0,9.612332781,9.472719031,9.666400422,9.872425698,9.556966916,9.183898652,9.212587813,9.55590096,9.378060338,9.126562652,9.513467891,8.750108696,9.679653497,9.091117213,9.190523045,9.169754281,9.193304249,9.337273523,9.873588444,8.702890307,10.17185977,9.534402899,9.301480182,8.605682916
2410006H16Rik,11,62416379.0,62418309.0,8.83344167,9.117958941,9.784246481,9.367175839,9.498841799,8.942254677,9.913978319,9.43040633,9.112953514,9.393346203,9.801379812,8.599694241,9.599163,9.427433996,9.757041256,9.201698853,9.654069644,9.15242647,9.850383386,9.5867537285,9.383289253,9.403005205,9.537759245,9.090252909
2510003E04Rik,10,62001374.0,62041205.0,7.68393587,8.204834467,7.5724507,7.288736859,7.927409507,8.157661251,7.171272113,7.51099167,7.190419587,7.839557376,7.395878311,8.034765251,6.937775893,7.636039785,7.578546332,7.438008169,6.915300037,7.241253906,6.724410403,7.406675913,7.483493362,7.138472603,7.676810319,7.091355751
2510006D16Rik,4,129277912.0,129296818.0,11.95324941,10.58048539,10.79177225,11.70898337,11.99376481,11.24890719,12.09883715,12.04865515,11.58462764,12.00913824,12.13598379,10.78482864,12.0664297,11.83512963,10.31984935,11.74723229,11.56526421,11.52697065,12.06342662,11.905619885,12.16376147,11.87724391,11.75909924,11.33654786
2610002D18Rik,4,134066914.0,134079842.0,8.252291104,9.338080529,9.119955286,8.450948016,8.906376364,8.757197484,7.674187801,7.812794172,8.091794792,8.37448124,8.054275662,8.424877192,7.949697658,8.174834612,9.028404072,8.115035559,8.926843835,9.02790521,7.827259216,7.9717830055,8.851850106,7.890577336,8.118286154,7.955096682
2610035D17Rik,11,112905209.0,113063152.0,8.172762673,7.610361962,6.718705201,7.668506426,7.210218653,7.251474533,6.7348709,7.472262782,7.013891749,7.34961986,8.016284212,9.310932913,7.501442526,7.416490596,7.161446224,6.937352444,8.528829629,6.960415883,6.730687949,7.1479722005,7.789861451,7.848372387,8.047881096,8.919230583
2610507I01Rik,11,59013338.0,59015887.0,6.392316664,6.503153577,6.508606523,9.518301863,9.632156986,9.483170965,6.479494627,6.489349628,6.464597715,6.522185462,10.2226971,6.401488823,6.614963498,9.945874213,10.21402466,6.469838604,6.567952432,6.615615869,6.334213156,10.58377914,6.348136347,10.15608409,9.756553318,10.51999295
2700029M09Rik,8,63369215.0,63386377.0,11.90848067,11.563064,11.3493875,11.5453503,11.19134611,11.27245631,11.15781671,11.21882947,11.58335075,10.96815411,11.23681739,10.54629782,11.46152749,11.46873338,11.19545219,11.67660137,11.11997951,11.49387038,11.58839719,10.960227525,11.85775978,11.11202741,11.33654786,10.49745682
2700094K13Rik,2,84509375.0,84510927.0,11.10127269,11.66833497,11.31719825,11.86704911,11.44293361,11.39188941,11.08901211,10.95957995,11.48177529,10.9858599,11.09096437,10.40317184,11.38200722,11.16357305,11.48561971,11.31922639,11.29645305,11.26482333,11.38890127,10.919371595,12.27566807,11.33555722,11.36245825,10.06223187
2810025M15Rik,1,159342483.0,159350366.0,9.220583085,8.665904961,9.264797323,9.454687821,8.997720331,9.221588191,8.840318861,8.71445887,9.084631823,8.795789353,9.067666942,8.531600193,9.172606914,8.69764685,8.787101285,8.507754793,8.109821015,9.403967894,9.112567227,8.384974529,9.441853244,9.130823591,9.009959312,8.463365365
2810403A07Rik,3,88489749.0,88515751.0,9.261600105,9.424820272,9.505863348,10.59391569,10.036339284,10.514112809,9.638836851499999,9.697447313,10.2647633905,10.073364205499999,9.623281609,10.2695596345,10.0257088975,9.729128550999999,9.262005223500001,9.6236352335,10.4721072175,10.088419699500001,10.063975231499999,9.57536619675,9.940628128,10.246833164,10.0806002335,11.16905874
2810408I11Rik,1,64726445.0,64737233.0,8.972652371,9.358536345,8.423636438,8.958846315,8.708817749,8.575714671,8.382543031,8.458308103,8.658100447,8.285552547,8.687322624,7.996286582,8.792923397,8.660695406,8.525178128,8.75278973,8.415392181,8.3815394,8.610743306,8.0823726505,9.240318132,8.63233622,8.568872159,7.762746523
2810416G20Rik,3,21974611.0,21974988.0,8.711787045,9.401718103,9.622903115,8.851125827,9.299472338,9.964537746,9.524162953,8.914689555,9.091608212,9.837555179,9.445607083,9.606087246,9.867622779,9.237175098,8.986407135,9.522817842,9.21078162,9.314012211,9.306246226,9.8810509765,10.12472295,9.480267352,9.084631823,9.58575192
2810417H13Rik,9,65738044.0,65751073.0,11.2471582,10.53458382,10.68195984,10.8666369,10.71666955,11.09643478,11.06347155,11.08811642,10.92283127,10.60215713,10.79675491,10.02879016,10.54777393,10.82054042,11.16357305,11.40611027,10.96924531,11.60343075,10.8495016,10.70918125,10.93659806,10.68593394,10.68835758,9.642456239
2810428I15Rik,8,73028191.0,73030651.0,9.953044473,9.725868393,10.16046146,10.10558936,10.3514191,9.588552386,9.875170005,10.27861136,9.710107258,10.13629373,10.17427783,9.651081134,9.935945377,9.671457936,9.9352811,9.674199516,9.558422295,10.00541832,10.08026837,9.539427751,10.79675491,9.909240399,10.34648078,9.275383116
2810474O19Rik,6,149257936.0,149284180.0,6.758356532333333,6.935098915,6.7444980789999995,8.288949762333333,7.378754308333334,8.812483504,6.835247519,6.781908615,7.992907713666667,6.998211245,6.672369637,7.019209053,7.773235782666666,6.861554740666667,6.709278476000001,6.9643080746666675,7.540860510333334,8.055522265333334,7.422648833,7.009431531833333,8.149616233666666,7.992707124333333,8.304196329333333,8.513818582
2900010J23Rik,2,32134336.0,32143595.0,7.665735527,8.314645138,7.639525253,7.287238981,8.483659692,8.309211607,7.605294835,7.615793671,7.263686704,7.994887698,7.574815358,8.124449154,6.726177843,7.826108032,7.646584267,7.684912551,7.171923767,7.18816027,6.897769009,7.5112356455,7.907893201,7.361185745,8.271571429,7.270806946
2900010M23Rik,17,27259608.0,27270861.0,10.109577,9.981659027,10.68664159,10.32668222,10.12930599,9.809517405,10.52401482,10.1772337,10.09059417,9.797972574,10.22809213,9.226552271,10.33584434,10.25828821,10.68914212,9.911838752,10.25313466,10.0849433,10.7353284,10.073662638,10.30712098,10.33514741,10.35471374,9.470828703
3110001D03Rik,4,74923258.0,74924209.0,11.84325268,11.18437757,11.75090713,11.47917423,11.37144409,11.164799,11.50443465,11.59098332,11.50443465,11.14228281,11.54904183,10.65347366,11.60596118,11.24003852,11.48057843,11.33347473,11.52697065,11.58839719,11.59386768,11.075796884999999,11.47803083,11.59919092,11.47550896,10.32668222
3110009E18Rik,1,122017764.0,122084766.0,8.774838333,8.691627209,9.422860088,8.755950754,8.482283476,9.377652556,8.638403294,9.275798418,8.545165372,9.014266859,9.242461083,8.07343048,9.143779803,9.194242106,9.208151658,9.166642489,9.471849299,8.892954495,9.402137773,9.134784803999999,9.639999761,8.534617017,8.715209657,8.077955004
3230401D17Rik,2,163231558.0,163250433.0,7.652887027,8.529822808,7.532331991,7.056416773,8.755950754,8.781904125,7.95298769,7.482123058,6.986828936,8.307638819,7.491272689,8.513857959,6.560642226,8.12997222,7.887659809,7.795912449,6.809852189,7.239217815,6.719639837,7.708776149,7.610361962,7.222580398,8.515153828,7.403503928
4632428N05Rik,10,59809599.0,59835432.0,10.95768599,11.61257442,10.5696468,9.942194347,11.32598582,11.62007045,10.74526607,10.53099829,10.06109727,11.23109395,10.38302043,11.78580868,9.60890729,10.92805342,10.78338306,10.82470951,9.317214692,9.778264056,9.524162953,10.85253813,10.04449615,10.23606333,11.03171316,10.77777744
4732465J04Rik,10,95256346.0,95257565.0,8.529822808,9.538176997,9.333664553,9.078973303,9.094896668,9.050911698,9.436888238,8.904726675,9.15657903,9.50888758,9.234963164,10.03624889,9.389656618,9.083020413,9.051747135,8.618981269,8.969361434,8.563121578,9.390974319,9.291038647499999,9.895574209,9.158201271,8.526192565,10.3893714
4930438A08Rik,11,58088301.0,58107791.0,11.89785557,12.01368393,12.81895001,11.87133004,12.2895295,11.37032306,12.2120741,12.23431104,11.87277444,12.39266049,12.2223198,12.59472082,12.23953859,12.09569495,12.20208876,12.07930217,11.68181123,11.62484586,12.40389319,11.69627882,11.75502035,12.32146733,11.85036423,12.0778694
4930518I15Rik,2,156682777.0,156682950.0,7.464198747,7.593917242,7.577624926,7.646985532,7.460501321,7.632259611,7.700613181,7.430036417,8.297280797,7.632447038,7.604509453,8.794690344,7.706179995,7.55480939,7.767726165,7.926887647,7.573314216,7.409426606,7.86653867,8.445840535999999,8.738522478,7.440605097,7.451922964,8.122758383
4930522L14Rik,5,110165009.0,110180905.0,7.800903833,6.731248339,8.202818416,6.534779198,8.025237198,6.682215714,6.714399986,7.801543011,7.66261515,6.603939808,6.545392775,7.404955589,6.618096751,7.773588902,7.757945841,7.714678762,6.582196115,7.576079772,6.482251117,6.615183779500001,6.585329346,6.596399579,7.936724486,7.476118629
4930526D03Rik,2,181431498.0,181433147.0,6.527159767,6.419998448,6.366025431,6.515688014,6.630150969,6.532443556,6.53300126,6.561050112,7.414708992,6.446360477,6.505337753,6.197081406,8.097758419,6.51097868,6.480268463,6.448692031,6.430177345,6.549054098,6.456345224,6.4013630275,6.421255516,6.597551301,6.331794753,6.557205863
4931406C07Rik,9,15087783.0,15106000.0,7.699121957,7.938427701,7.593917242,6.773295265,7.740134117,8.009705301,7.178945812,7.272970203,6.968311933,7.547364161,7.044119064,7.924841311,6.750974193,7.605294835,7.329340265,7.221131104,6.686507604,7.196224941,6.476101303,7.179940584000001,6.562664686,6.946863496,7.399056764,6.938707587
4931428L18Rik,1,31197923.0,31279506.0,7.46820124,7.29924866,7.913248675,7.087051211,7.431793168,7.658253456,8.518952916,7.435746217,7.100846384,7.866304016,7.680962565,7.476475668,6.870109025,7.525738896,7.168926746,7.292478913,7.101294883,7.53363012,7.237766796,7.9018435645,7.514703764,7.157116041,6.884192657,8.546965368
4933407C03Rik,8,119781104.0,119983311.0,8.861991698,9.44006516,10.56824131,10.79755567,10.88698332,10.59685826,9.485679697,9.771447089,10.54131948,9.651081134,9.925219551,10.18737409,11.06804188,9.59047434,9.089832751,9.739814844,10.54004459,10.39809379,11.21777981,9.840088226999999,11.10780432,11.38776122,10.6463813,11.4038266
5033414D02Rik,19,29423089.0,29441880.0,8.598986062,9.3130461,8.696122474,8.248928205,9.336406999,9.80789712,8.637287962,8.688038112,8.564084316,9.24163162,8.643936331,9.405768952,7.905572519,8.868728426,8.646168267,8.566488472,7.746383663,7.885107999,7.948667959,8.888197068,8.736483369,8.647277817,9.008851524,8.675670288
